name	@lat	@lon	population
Conchal	-22.3375120	-47.1729270	28101
Monte Alegre do Sul	-22.6818610	-46.6798783	8627
Itobi	-21.7308530	-46.9743000	8046
Casa Branca	-21.7743137	-47.0852175	28083
Águas da Prata	-21.9464285	-46.7192121	7369
Vargem Grande do Sul	-21.8310636	-46.8933030	40133
Pedra Bela	-22.7950193	-46.4431811	6718
Pinhalzinho	-22.7824349	-46.5901718	15605
Piracaia	-23.0525450	-46.3593740	26029
Socorro	-22.5902619	-46.5249112	40122
Caconde	-21.5281123	-46.6434015	17101
Mococa	-21.4647310	-47.0024050	67681
Santo Antônio da Alegria	-21.0893048	-47.1523426	6775
Divinolândia	-21.6604584	-46.7371151	11158
Cássia dos Coqueiros	-21.2800820	-47.1643270	2799
São Sebastião da Grama	-21.7118854	-46.8284162	10441
São José do Rio Pardo	-21.5952880	-46.8873030	52205
Ribeirão Corrente	-20.4578720	-47.5903940	4608
Restinga	-20.6032343	-47.4830912	6404
Batatais	-20.8928670	-47.5921490	58402
São José da Bela Vista	-20.5934194	-47.6416942	7626
Ituverava	-20.3366604	-47.7797924	37571
Aramina	-20.0876144	-47.7892010	5420
Nuporanga	-20.7308770	-47.7522561	7391
Guará	-20.4290496	-47.8250067	18606
Rifaina	-20.0811589	-47.4210736	4049
Cristais Paulista	-20.4035690	-47.4209150	9272
Pedregulho	-20.2507100	-47.4808786	15525
Jeriquara	-20.3104773	-47.5915669	3863
Buritizal	-20.1933264	-47.7097165	4356
Itirapuã	-20.6406814	-47.2193817	5779
Patrocínio Paulista	-20.6383609	-47.2801241	14512
Franca	-20.5381768	-47.4009795	352536
Natividade da Serra	-23.3783786	-45.4438173	6999
São Sebastião	-23.8027866	-45.4070527	81595
Caçapava	-23.0992040	-45.7076450	96202
Jambeiro	-23.2556416	-45.6919926	6397
Paraibuna	-23.3864203	-45.6626797	17667
Salesópolis	-23.5288050	-45.8465300	15202
Santa Branca	-23.3974353	-45.8842294	13975
Biritiba Mirim	-23.5697765	-46.0407456	29683
Cachoeira Paulista	-22.6605578	-45.0081689	31564
Canas	-22.7029347	-45.0526508	4931
Lavrinhas	-22.5700470	-44.9023590	7171
Cruzeiro	-22.5783685	-44.9642044	74961
Areias	-22.5800929	-44.6975127	3577
Silveiras	-22.6638400	-44.8521570	6186
Arapeí	-22.6738889	-44.4477778	2330
Queluz	-22.5371881	-44.7752585	9159
São Luiz do Paraitinga	-23.2220531	-45.3108444	10337
Redenção da Serra	-23.2803652	-45.5345747	4494
Santo Antônio do Pinhal	-22.8250504	-45.6674063	7133
Ubatuba	-23.4331620	-45.0834150	92981
Tremembé	-22.9641763	-45.5489548	51173
Taubaté	-23.0314480	-45.5612792	310739
Potim	-22.8377227	-45.2565239	20392
Roseira	-22.8980898	-45.3093218	10832
Campinal	-21.5731674	-51.9797734	
Araxãs	-21.9306312	-51.5206623	
Jaciporã	-21.5960451	-51.5858353	
Jamaica	-21.5130614	-51.6188934	
Planalto do Sul	-22.3147295	-52.2460524	
Cuiabá Paulista	-22.2852899	-52.1021492	
Itororó do Paranapanema	-22.6097345	-51.7217708	
Costa Machado	-22.2151391	-51.8363073	
Nova Pátria	-22.2186884	-51.6412499	
Coronel Goulart	-22.2136210	-51.5427021	
Terra Nova d'Oeste	-21.3050130	-51.6874798	
Gardênia	-22.6261552	-50.9048630	
São José das Laranjeiras	-22.6726314	-50.8626249	
Espigão	-22.1943201	-51.3567629	
Montalvão	-22.0516863	-51.3468965	
Frutal do Campo	-22.8428634	-50.5184769	2072
Agissê	-22.5323835	-50.9085804	
Conceição de Monte Alegre	-22.4731548	-50.6099610	
Santo Antônio de Paranapanema	-22.9039235	-50.4232196	694
Varpa	-22.0804922	-50.5400969	
Sapezal	-22.3519259	-50.6226197	
Eneida	-21.9141670	-51.3014481	
Floresta do Sul	-21.9626801	-51.3078633	
Ameliópolis	-21.8034639	-51.3003431	
Boa Esperança d'Oeste	-21.8672224	-51.2095281	
Atlântida	-21.5751380	-51.2146849	
Mourão	-21.7242620	-51.1804568	
Indaiá do Aguapeí	-21.4102293	-51.1562510	
Vila Escócia	-21.9958512	-51.0269006	
Universo	-21.9027519	-50.5975623	
Tabajara	-21.2855067	-51.1249403	
Amandaba	-21.1015894	-51.1562193	
Lauro Penteado	-21.5138471	-50.4555650	
Juliânia	-21.9017374	-50.3655718	
Esmeralda	-20.3027983	-51.0494125	
Bandeirantes D'Oeste	-20.6095697	-50.8100874	
Ribeiro do Vale	-21.0705960	-50.7100267	
Aparecida do Bonito	-20.0972800	-50.7691650	
Fátima Paulista	-20.1038099	-50.4597081	
Dalas	-20.5226977	-50.7460056	
Prudêncio de Moraes	-20.5340137	-50.4942610	
Guarapuã	-22.2465793	-48.3874587	
Potunduva	-22.3659512	-48.6698413	
Vitoriana	-22.7806271	-48.4007845	
Aparecida de São Manuel	-22.7301790	-48.6128830	
São João de Itaguaçu	-21.1783919	-49.1915758	
Nova Cardoso	-21.3325000	-49.1630684	1294
Cambaratiba	-21.7411213	-49.0243693	
Pradínia	-21.7774152	-49.2505169	
Ururaí	-21.3368452	-48.8476668	
Tapinas	-21.4457782	-48.7866385	
Roberto	-21.2567212	-48.9750977	
Termas de Ibirá	-21.1030724	-49.1882173	737
São Lourenço do Turvo	-21.5507722	-48.5316325	
Curupá	-21.7218899	-48.5811293	
Nova América	-21.5174190	-48.6888733	
Botelho	-21.3636785	-48.7656617	
Santa Cruz dos Lopes	-23.9496591	-49.4956137	
Pedra Branca de Itararé	-23.9569991	-49.2856227	
Turiba do Sul	-23.7618748	-49.2735247	
Guarapiranga	-21.9764293	-48.2499138	
Bueno de Andrada	-21.6696638	-48.2459192	1623
Agulha	-21.3687756	-48.7433671	
Guariroba	-21.4745510	-48.6246920	
Nova Alexandria	-22.6977719	-50.2920133	1029
Paulópolis	-22.0978574	-50.2525204	
Avencas	-22.2732484	-50.1121470	
Amadeu Amaral	-22.3478350	-50.0565530	
Aracaçu	-23.7114837	-48.4796302	
Bom Retiro da Esperança	-23.5475871	-48.3055049	
Sussuí	-22.8164226	-50.3104800	
Batista Botelho	-23.0045391	-49.4033712	
Sodrélia	-22.9547934	-49.5372497	
Domélia	-22.7213720	-49.3101183	
Caporanga	-22.7160644	-49.5716428	
Dirceu	-22.1333017	-49.9141635	
Jatobá	-21.6248758	-50.2425045	
São Martinho d'Oeste	-21.5752453	-50.2743359	
Rosália	-21.9952297	-49.9775176	
Macucos	-21.7462777	-50.1082634	
Corredeira	-22.0548841	-49.6260736	
Jafa	-22.2123813	-49.7309865	
Novo Cravinhos	-21.9879074	-50.1107657	
Guaricanga	-22.0522291	-49.3332857	
Santo Antônio da Estiva	-21.8925026	-49.4066563	
Simões	-21.6647894	-49.4362641	
Cafesópolis	-21.8812110	-49.7588360	
Guapiranga	-21.5159800	-49.6477890	
Santa Maria do Gurupá	-21.6580861	-50.0096760	
Juritis	-21.2042090	-50.1754573	
Santa América	-21.7965178	-50.0531985	
Jacuba	-22.0508297	-49.0373796	
Guaianás	-22.3104586	-48.8916923	
Tibiriçá	-22.2369294	-49.2207922	1492
São Berto	-23.0442934	-49.2520089	
Bacuriti	-21.5850069	-49.4418045	
